project,scenario,timeseries,tax_carbon,subsidy_opex,subsidy_capex,subsidy_carbon
A,A_095_100,spacing_120,no,yes,no,no
A,A_095_110,spacing_120,no,yes,no,no
A,A_095_120,spacing_120,no,yes,no,no
A,A_090_100,spacing_120,no,yes,no,no
A,A_090_110,spacing_120,no,yes,no,no
A,A_090_120,spacing_120,no,yes,no,no
A,A_085_100,spacing_120,no,yes,no,no
A,A_085_110,spacing_120,no,yes,no,no
A,A_085_120,spacing_120,no,yes,no,no
A,A_080_100,spacing_120,no,yes,no,no
A,A_080_110,spacing_120,no,yes,no,no
A,A_080_120,spacing_120,no,yes,no,no
