project,scenario,timeseries,tax_carbon,subsidy_opex,subsidy_capex,subsidy_carbon
B,B_095_100,spacing_120,no,no,yes,no
B,B_095_110,spacing_120,no,no,yes,no
B,B_095_120,spacing_120,no,no,yes,no
B,B_090_100,spacing_120,no,no,yes,no
B,B_090_110,spacing_120,no,no,yes,no
B,B_090_120,spacing_120,no,no,yes,no
B,B_085_100,spacing_120,no,no,yes,no
B,B_085_110,spacing_120,no,no,yes,no
B,B_085_120,spacing_120,no,no,yes,no
B,B_080_100,spacing_120,no,no,yes,no
B,B_080_110,spacing_120,no,no,yes,no
B,B_080_120,spacing_120,no,no,yes,no
