project,scenario,timeseries,tax_carbon,subsidy_opex,subsidy_capex,subsidy_carbon
E,E_095_100,spacing_120,yes,no,no,no
E,E_095_110,spacing_120,yes,no,no,no
E,E_095_120,spacing_120,yes,no,no,no
E,E_090_100,spacing_120,yes,no,no,no
E,E_090_110,spacing_120,yes,no,no,no
E,E_090_120,spacing_120,yes,no,no,no
E,E_085_100,spacing_120,yes,no,no,no
E,E_085_110,spacing_120,yes,no,no,no
E,E_085_120,spacing_120,yes,no,no,no
E,E_080_100,spacing_120,yes,no,no,no
E,E_080_110,spacing_120,yes,no,no,no
E,E_080_120,spacing_120,yes,no,no,no
