timestep,transmission supply,transmission return,distribution supply,distribution return
[unit],[°C],[°C],[°C],[°C]
[source],[Varmeplan hovedstaden],[Varmeplan hovedstaden],[Varmeplan hovedstaden],[Varmeplan hovedstaden]
T0001,114,55,89,50
T0002,114,55,89,50
T0003,114,55,89,50
T0004,114,55,89,50
T0005,114,55,89,50
T0006,114,55,89,50
T0007,114,55,89,50
T0008,114,55,89,50
T0009,114,55,89,50
T0010,114,55,89,50
T0011,114,55,89,50
T0012,114,55,89,50
T0013,114,55,89,50
T0014,114,55,89,50
T0015,114,55,89,50
T0016,114,55,89,50
T0017,114,55,89,50
T0018,114,55,89,50
T0019,114,55,89,50
T0020,114,55,89,50
T0021,114,55,89,50
T0022,114,55,89,50
T0023,114,55,89,50
T0024,114,55,89,50
T0025,114,55,89,50
T0026,114,55,89,50
T0027,114,55,89,50
T0028,114,55,89,50
T0029,114,55,89,50
T0030,114,55,89,50
T0031,114,55,89,50
T0032,114,55,89,50
T0033,114,55,89,50
T0034,114,55,89,50
T0035,114,55,89,50
T0036,114,55,89,50
T0037,114,55,89,50
T0038,114,55,89,50
T0039,114,55,89,50
T0040,114,55,89,50
T0041,114,55,89,50
T0042,114,55,89,50
T0043,114,55,89,50
T0044,114,55,89,50
T0045,114,55,89,50
T0046,114,55,89,50
T0047,114,55,89,50
T0048,114,55,89,50
T0049,114,55,89,50
T0050,114,55,89,50
T0051,114,55,89,50
T0052,114,55,89,50
T0053,114,55,89,50
T0054,114,55,89,50
T0055,114,55,89,50
T0056,114,55,89,50
T0057,114,55,89,50
T0058,114,55,89,50
T0059,114,55,89,50
T0060,114,55,89,50
T0061,114,55,89,50
T0062,114,55,89,50
T0063,114,55,89,50
T0064,114,55,89,50
T0065,114,55,89,50
T0066,114,55,89,50
T0067,114,55,89,50
T0068,114,55,89,50
T0069,114,55,89,50
T0070,114,55,89,50
T0071,114,55,89,50
T0072,114,55,89,50
T0073,114,55,89,50
T0074,114,55,89,50
T0075,114,55,89,50
T0076,114,55,89,50
T0077,114,55,89,50
T0078,114,55,89,50
T0079,114,55,89,50
T0080,114,55,89,50
T0081,114,55,89,50
T0082,114,55,89,50
T0083,114,55,89,50
T0084,114,55,89,50
T0085,114,55,89,50
T0086,114,55,89,50
T0087,114,55,89,50
T0088,114,55,89,50
T0089,114,55,89,50
T0090,114,55,89,50
T0091,114,55,89,50
T0092,114,55,89,50
T0093,114,55,89,50
T0094,114,55,89,50
T0095,114,55,89,50
T0096,114,55,89,50
T0097,114,55,89,50
T0098,114,55,89,50
T0099,114,55,89,50
T0100,114,55,89,50
T0101,114,55,89,50
T0102,114,55,89,50
T0103,114,55,89,50
T0104,114,55,89,50
T0105,114,55,89,50
T0106,114,55,89,50
T0107,114,55,89,50
T0108,114,55,89,50
T0109,114,55,89,50
T0110,114,55,89,50
T0111,114,55,89,50
T0112,114,55,89,50
T0113,114,55,89,50
T0114,114,55,89,50
T0115,114,55,89,50
T0116,115,55,90,50
T0117,115,55,90,50
T0118,115,55,90,50
T0119,115,55,90,50
T0120,115,55,90,50
T0121,115,55,90,50
T0122,115,55,90,50
T0123,115,55,90,50
T0124,115,55,90,50
T0125,115,55,90,50
T0126,115,55,90,50
T0127,115,55,90,50
T0128,115,55,90,50
T0129,115,55,90,50
T0130,115,55,90,50
T0131,115,55,90,50
T0132,115,55,90,50
T0133,115,55,90,50
T0134,115,55,90,50
T0135,115,55,90,50
T0136,115,55,90,50
T0137,115,55,90,50
T0138,115,55,90,50
T0139,115,55,90,50
T0140,115,55,90,50
T0141,115,55,90,50
T0142,115,55,90,50
T0143,115,55,90,50
T0144,115,55,90,50
T0145,115,55,90,50
T0146,115,55,90,50
T0147,115,55,90,50
T0148,115,55,90,50
T0149,115,55,90,50
T0150,115,55,90,50
T0151,115,55,90,50
T0152,115,55,90,50
T0153,115,55,90,50
T0154,115,55,90,50
T0155,115,55,90,50
T0156,115,55,90,50
T0157,115,55,90,50
T0158,115,55,90,50
T0159,115,55,90,50
T0160,115,55,90,50
T0161,115,55,90,50
T0162,115,55,90,50
T0163,115,55,90,50
T0164,115,55,90,50
T0165,115,55,90,50
T0166,115,55,90,50
T0167,115,55,90,50
T0168,115,55,90,50
T0169,115,55,90,50
T0170,115,55,90,50
T0171,115,55,90,50
T0172,115,55,90,50
T0173,115,55,90,50
T0174,115,55,90,50
T0175,115,55,90,50
T0176,115,55,90,50
T0177,115,55,90,50
T0178,115,55,90,50
