timestep,air,seawater,excess heat,sewage,groundwater,drinking water,geothermal
[unit],[°C],[°C],[°C],[°C],[°C],[°C],[°C]
[source],[DMI],[Varmeplan hovedstaden],[Varmeplan hovedstaden],[Varmeplan hovedstaden],[Varmeplan hovedstaden],[Varmeplan hovedstaden],[Varmeplan hovedstaden]
T0001,8.3,3,25,11,8.9,8.5,56
T0002,8.1,3,25,11,9,9,56
T0003,9.7,3,25,11,9,9,56
T0004,10.2,3,25,11,9,9,56
T0005,10,3,25,11,9,9,56
T0006,10.1,3,25,11,9,9,56
T0007,10.3,3,25,11,9,9,56
T0008,10.4,3,25,11,9,9,56
T0009,10.3,3,25,11,9,9,56
T0010,10.2,3,25,11,9,9,56
T0011,10.2,3,25,11,9,9,56
T0012,10.6,3,25,11,9,9,56
T0013,10.3,3,25,11,9,9,56
T0014,10.1,3,25,11,9,9,56
T0015,9.8,3,25,11,9,9,56
T0016,9.3,3,25,11,9,9,56
T0017,8.7,3,25,11,9,9,56
T0018,7.7,3,25,11,9,9,56
T0019,7.4,3,25,11,9,9,56
T0020,7.8,3,25,11,9,9,56
T0021,8.2,3,25,11,9,9,56
T0022,8.3,3,25,11,9,9,56
T0023,7.9,3,25,11,9,9,56
T0024,7.5,3,25,11,9,9,56
T0025,6.9,3,25,11,9,9,56
T0026,7.2,3,25,11,9,9,56
T0027,7.2,3,25,11,9,9,56
T0028,7.1,3,25,11,9,9,56
T0029,7.1,3,25,11,9,9,56
T0030,7.2,3,25,11,9,9,56
T0031,7.2,3,25,11,9,9,56
T0032,7.3,3,25,11,9,9,56
T0033,7.1,3,25,11,9,9,56
T0034,7.4,3,25,11,9,9,56
T0035,7.8,3,25,11,9,9,56
T0036,9.1,3,25,11,9,9,56
T0037,9.4,3,25,11,9,9,56
T0038,9.6,3,25,11,9,9,56
T0039,9.6,3,25,11,9,9,56
T0040,8.5,3,25,11,9,9,56
T0041,7,3,25,11,9,9,56
T0042,6.7,3,25,11,9,9,56
T0043,6.3,3,25,11,9,9,56
T0044,6.2,3,25,11,9,9,56
T0045,6.7,3,25,11,9,9,56
T0046,6.8,3,25,11,9,9,56
T0047,6.7,3,25,11,9,9,56
T0048,6.4,3,25,11,9,9,56
T0049,5.7,3,25,11,9,9,56
T0050,5.2,3,25,11,9,9,56
T0051,4.9,3,25,11,9,9,56
T0052,5,3,25,11,9,9,56
T0053,5.1,3,25,11,9,9,56
T0054,5.3,3,25,11,9,9,56
T0055,5.5,3,25,11,9,9,56
T0056,5.5,3,25,11,9,9,56
T0057,5.7,3,25,11,9,9,56
T0058,5.4,3,25,11,9,9,56
T0059,6,3,25,11,9,9,56
T0060,6.4,3,25,11,9,9,56
T0061,6.8,3,25,11,9,9,56
T0062,7,3,25,11,9,9,56
T0063,6.5,3,25,11,9,9,56
T0064,5.2,3,25,11,9,9,56
T0065,3.5,3,25,11,9,9,56
T0066,2.5,3,25,11,9,9,56
T0067,2.3,3,25,11,9,9,56
T0068,1.8,3,25,11,9,9,56
T0069,1.6,3,25,11,9,9,56
T0070,2,3,25,11,9,9,56
T0071,2.3,3,25,11,9,9,56
T0072,3.5,3,25,11,9,9,56
T0073,4.6,3,25,11,9,9,56
T0074,4.9,3,25,11,9,9,56
T0075,4.7,3,25,11,9,9,56
T0076,4.8,3,25,11,9,9,56
T0077,5,3,25,11,9,9,56
T0078,5.1,3,25,11,9,9,56
T0079,5.2,3,25,11,9,9,56
T0080,5.2,3,25,11,9,9,56
T0081,5.1,3,25,11,9,8,56
T0082,5.2,3,25,11,9,8,56
T0083,5.6,3,25,11,9,8,56
T0084,5.9,3,25,11,9,8,56
T0085,7.2,3,25,11,9,8,56
T0086,8.3,3,25,11,9,8,56
T0087,8.5,3,25,11,9,8,56
T0088,8.8,3,25,11,9,8,56
T0089,8.7,3,25,11,9,8,56
T0090,8.8,3,25,11,9,8,56
T0091,8.8,3,25,11,9,8,56
T0092,8.7,3,25,11,9,8,56
T0093,8.4,3,25,11,9,8,56
T0094,8.5,3,25,11,9,8,56
T0095,8.5,3,25,11,9,8,56
T0096,8.5,3,25,11,9,8,56
T0097,8.2,3,25,11,9,8,56
T0098,7.9,3,25,11,9,8,56
T0099,7.6,3,25,11,9,8,56
T0100,7.3,3,25,11,9,8,56
T0101,7.1,3,25,11,9,8,56
T0102,5.7,3,25,11,9,8,56
T0103,4.6,3,25,11,9,8,56
T0104,3.8,3,25,11,9,8,56
T0105,3.6,3,25,11,9,8,56
