vrkanl_ny,technology_type,varmelev_TJ,fuel,fuel_share,fuel_capacity_allocation,heat_capacity_allocation,elec_capacity_allocation,source,technology_category
1-14,industrial heat,1531.996,fuel free,1.0,56.0,56.0,0.0,industry,FF
1-2,gas turbine,248.967,refinery gas,1.0,97.23,52.0,26.0,,CHP
10-6,boiler,5.367,natural gas,1.0,12.6,11.6,0.0,,HOB
10-7,boiler,6.633,natural gas,0.9847473946567864,12.407817172675509,11.423069778018721,0.0,,HOB
10-8,boiler,10.706,natural gas,1.0,12.6,11.6,0.0,,HOB
10-9,boiler,8.715,natural gas,0.9949511967956209,12.536385079624823,11.541433882829203,0.0,,HOB
1003-1,combustion engine,16.5065292,natural gas,1.0,7.6,4.2,3.06,,CHP
1003-3,boiler,18.86994,electricity,1.0,2.95,2.95,0.0,,HOB
1003-4,solar,18.18864,fuel free,1.0,7.2,7.2,0.0,solar,FF
1003-5,heat pump - air,5.06592,electricity,1.0,0.269,1.6,0.0,ambient,HP
1003-7,boiler,22.234752,natural gas,1.0,4.25,7.3,0.0,,HOB
1015-2,boiler,3.06,natural gas,1.0,4.5,4.5,0.0,,HOB
102-3,boiler,12.1356,natural gas,1.0,7.3,8.9,0.0,,HOB
103-3,boiler,109.7856,natural gas,1.0,11.6,11.6,0.0,,HOB
1042-1,combined cycle,460.782,natural gas,1.0,115.02,60.0,54.25,,CHP
1042-2,combined cycle,341.1432,natural gas,1.0,115.02,60.0,54.3,,CHP
1042-5,boiler,178.451316,electricity,1.0,30.0,30.0,0.0,,HOB
1042-6,steam boiler,18.2124,natural gas,1.0,27.712,25.0,0.0,,HOB
1042-7,boiler,174.17016,electricity,1.0,50.0,50.0,0.0,,HOB
1043-3,boiler,10.41408,wood chips,0.6193119149714232,0.6193119149714232,0.6193119149714232,0.0,,HOB
1043-3,boiler,10.41408,wood pellets,0.38068808502857676,0.38068808502857676,0.38068808502857676,0.0,,HOB
1043-4,heat pump - air,5.4612,electricity,1.0,0.1466,0.44,0.0,ambient,HP
1044-1,boiler,7.4772,wood pellets,1.0,0.65,0.65,0.0,,HOB
1046-2,boiler,22.922,wood waste,1.0,1.0,1.0,0.0,,HOB
1047-3,boiler,21.9924,straw,1.0,1.0,1.0,0.0,,HOB
1049-1,combustion engine,2.30328,natural gas,1.0,5.0,2.25,2.02,,CHP
1049-3,boiler,21.537,wood pellets,1.0,1.0,0.9,0.0,,HOB
1053-3,boiler,12.0744,wood pellets,1.0,0.7,0.7,0.0,,HOB
1053-4,solar,14.6592,fuel free,1.0,6.2,6.2,0.0,solar,FF
1053-5,boiler,2.3076,natural gas,1.0,2.0,2.0,0.0,,HOB
1053-6,boiler,9.532800000000002,wood pellets,1.0,1.3,1.3,0.0,,HOB
1054-1,boiler,7.328,wood chips,1.0,0.49,0.48,0.0,,HOB
1054-2,boiler,7.329,wood chips,1.0,0.49,0.48,0.0,,HOB
1057-2,boiler,24.894,natural gas,1.0,5.53,5.5,0.0,,HOB
1057-5,boiler,16.9056,electricity,1.0,10.0,10.0,0.0,,HOB
1057-8,solar,42.3828,fuel free,1.0,24.0,24.0,0.0,solar,FF
1058-1,combustion engine,10.20312,natural gas,1.0,2.1,1.2,0.9,,CHP
1058-2,boiler,6.47136,natural gas,1.0,1.6,1.5,0.0,,HOB
1059-1,combustion engine,4.302359999999999,natural gas,1.0,7.2,3.7,2.8,,CHP
1059-2,combustion engine,3.04488,natural gas,1.0,7.2,3.7,2.8,,CHP
1063-1,combined cycle,600.0416,municipal waste,0.8523000191530178,117.61740264311645,51.138001149181065,49.43340111087503,,CHP
1063-1,combined cycle,600.0416,straw,0.0481045036352334,6.63842150166221,2.886270218114004,2.7900612108435374,,CHP
1063-1,combined cycle,600.0416,wood waste,0.09959526051955758,13.744145951698947,5.975715631173455,5.77652511013434,,CHP
1064-1,combustion engine,10.00116,natural gas,1.0,7.41,3.7,3.04,,CHP
1064-2,boiler,8.765640000000001,natural gas,1.0,10.0,10.0,0.0,,HOB
1065-1,combustion engine,19.782,natural gas,1.0,8.67,4.6,3.64,,CHP
1065-2,boiler,16.2612,electricity,1.0,4.5,4.5,0.0,,HOB
1065-3,boiler,2.2284,natural gas,1.0,7.5,7.5,0.0,,HOB
1067-2,boiler,32.205,electricity,1.0,10.0,10.0,0.0,,HOB
1067-3,boiler,93.249,wood chips,1.0,6.3,6.3,0.0,,HOB
1068-7,boiler,21.16512,natural gas,1.0,8.5,8.5,0.0,,HOB
1068-8,boiler,2.15676,gas oil,0.8584243727501706,8.584243727501706,7.983346666576587,0.0,,HOB
1068-8,boiler,2.15676,natural gas,0.14157562724982947,1.4157562724982946,1.3166533334234143,0.0,,HOB
1068-9,boiler,42.28164,electricity,1.0,10.0,10.0,0.0,,HOB
1069-1,combined cycle,174.0312,natural gas,1.0,128.2,56.0,57.0,,CHP
1069-10,heat pump - air,90.7308,electricity,1.0,2.8,12.0,0.0,ambient,HP
1069-6,boiler,114.8796,natural gas,1.0,15.0,15.8,0.0,,HOB
1069-7,boiler,114.8796,natural gas,1.0,15.0,15.8,0.0,,HOB
1069-9,boiler,60.5268,electricity,1.0,50.0,50.0,0.0,,HOB
1070-1,boiler,2.5812,natural gas,1.0,16.5,17.3,0.0,,HOB
1070-11,boiler,5.1732,electricity,1.0,20.0,19.85,0.0,,HOB
1070-3,combustion engine,2.5308,natural gas,1.0,7.79,4.2,3.2,,CHP
1070-4,combustion engine,2.9376,natural gas,1.0,7.79,4.2,3.2,,CHP
1070-5,combustion engine,3.5136,natural gas,1.0,7.79,4.2,3.2,,CHP
1070-6,combustion engine,3.996,natural gas,1.0,7.79,4.2,3.2,,CHP
1070-7,combustion engine,4.2336,natural gas,1.0,7.79,4.2,3.2,,CHP
1070-8,combustion engine,3.5172,natural gas,1.0,7.79,4.2,3.2,,CHP
1070-9,combustion engine,2.7792,natural gas,1.0,7.79,4.2,3.2,,CHP
1073-2,boiler,2.32164,natural gas,1.0,1.7,1.7,0.0,,HOB
1073-3,solar,6.337800000000001,fuel free,1.0,2.6,2.6,0.0,solar,FF
1073-4,boiler,16.75008,wood chips,1.0,1.2,1.2,0.0,,HOB
1074-3,boiler,9.234575999999999,wood waste,1.0,0.994,0.889,0.0,,HOB
1074-4,heat pump - other,7.896240000000001,electricity,1.0,0.2,0.66,0.0,industry,HP
1075-3,boiler,14.604192,wood waste,1.0,0.994,0.889,0.0,,HOB
1075-4,heat pump - air,5.377248000000001,electricity,1.0,0.14,0.52,0.0,ambient,HP
1076-3,boiler,9.3141,wood waste,1.0,0.86,0.8,0.0,,HOB
1077-1,combustion engine,3.8772,natural gas,1.0,3.3,1.75,1.41,,CHP
1077-2,boiler,3.7296,natural gas,1.0,2.5,2.5,0.0,,HOB
1077-3,heat pump - air,14.4108,electricity,1.0,0.37,1.16,0.0,ambient,HP
1078-5,boiler,2.394,natural gas,1.0,4.07,4.22,0.0,,HOB
