timestep,HP_ambient,HP_industry,HR_small,HR_medium,HR_large
T0001,2.477,2.852,3.007,3.371,3.731
T0002,2.469,2.852,3.007,3.371,3.731
T0003,2.532,2.852,3.007,3.371,3.731
T0004,2.552,2.852,3.007,3.371,3.731
T0005,2.544,2.852,3.007,3.371,3.731
T0006,2.548,2.852,3.007,3.371,3.731
T0007,2.556,2.852,3.007,3.371,3.731
T0008,2.56,2.852,3.007,3.371,3.731
T0009,2.556,2.852,3.007,3.371,3.731
T0010,2.552,2.852,3.007,3.371,3.731
T0011,2.552,2.852,3.007,3.371,3.731
T0012,2.568,2.852,3.007,3.371,3.731
T0013,2.556,2.852,3.007,3.371,3.731
T0014,2.548,2.852,3.007,3.371,3.731
T0015,2.536,2.852,3.007,3.371,3.731
T0016,2.516,2.852,3.007,3.371,3.731
T0017,2.492,2.852,3.007,3.371,3.731
T0018,2.454,2.852,3.007,3.371,3.731
T0019,2.443,2.852,3.007,3.371,3.731
T0020,2.458,2.852,3.007,3.371,3.731
T0021,2.473,2.852,3.007,3.371,3.731
T0022,2.477,2.852,3.007,3.371,3.731
T0023,2.462,2.852,3.007,3.371,3.731
T0024,2.447,2.852,3.007,3.371,3.731
T0025,2.425,2.852,3.007,3.371,3.731
T0026,2.436,2.852,3.007,3.371,3.731
T0027,2.436,2.852,3.007,3.371,3.731
T0028,2.432,2.852,3.007,3.371,3.731
T0029,2.432,2.852,3.007,3.371,3.731
T0030,2.436,2.852,3.007,3.371,3.731
T0031,2.436,2.852,3.007,3.371,3.731
T0032,2.439,2.852,3.007,3.371,3.731
T0033,2.432,2.852,3.007,3.371,3.731
T0034,2.443,2.852,3.007,3.371,3.731
T0035,2.458,2.852,3.007,3.371,3.731
T0036,2.508,2.852,3.007,3.371,3.731
T0037,2.52,2.852,3.007,3.371,3.731
T0038,2.528,2.852,3.007,3.371,3.731
T0039,2.528,2.852,3.007,3.371,3.731
T0040,2.485,2.852,3.007,3.371,3.731
T0041,2.428,2.852,3.007,3.371,3.731
T0042,2.417,2.852,3.007,3.371,3.731
T0043,2.403,2.852,3.007,3.371,3.731
T0044,2.399,2.852,3.007,3.371,3.731
T0045,2.417,2.852,3.007,3.371,3.731
T0046,2.421,2.852,3.007,3.371,3.731
T0047,2.417,2.852,3.007,3.371,3.731
T0048,2.407,2.852,3.007,3.371,3.731
