,CHP_biofuel,CHP_coal,CHP_muniwaste,CHP_natgas,CHP_straw,CHP_w-chip,CHP_w-pellet,CHP_w-waste,FF_solar,FF_industry,HOB_biofuel,HOB_elec,HOB_gasoil,HOB_muniwaste,HOB_natgas,HOB_straw,HOB_w-chip,HOB_w-pellet,HOB_w-waste,HP_ambient,HP_industry,HR_S-near,HR_S-far,HR_M-near,HR_M-far,HR_L-near,HR_L-far
T0001,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0002,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0003,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0004,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0005,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0006,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0007,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0008,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0009,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0010,1,1,1,1,1,1,1,1,0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0011,1,1,1,1,1,1,1,1,0.070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0012,1,1,1,1,1,1,1,1,0.101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0013,1,1,1,1,1,1,1,1,0.121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0014,1,1,1,1,1,1,1,1,0.089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0015,1,1,1,1,1,1,1,1,0.037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0016,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0017,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0018,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0019,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0020,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0021,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0022,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0023,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0024,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0025,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0026,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0027,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0028,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0029,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0030,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0031,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0032,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0033,1,1,1,1,1,1,1,1,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0034,1,1,1,1,1,1,1,1,0.026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0035,1,1,1,1,1,1,1,1,0.046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0036,1,1,1,1,1,1,1,1,0.076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0037,1,1,1,1,1,1,1,1,0.093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0038,1,1,1,1,1,1,1,1,0.086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0039,1,1,1,1,1,1,1,1,0.032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0040,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0041,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0042,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0043,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0044,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0045,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0046,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0047,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0048,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0049,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0050,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0051,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0052,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0053,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0054,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0055,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0056,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0057,1,1,1,1,1,1,1,1,0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0058,1,1,1,1,1,1,1,1,0.070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0059,1,1,1,1,1,1,1,1,0.279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0060,1,1,1,1,1,1,1,1,0.278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0061,1,1,1,1,1,1,1,1,0.315,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0062,1,1,1,1,1,1,1,1,0.240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0063,1,1,1,1,1,1,1,1,0.046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0064,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0065,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0066,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0067,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0068,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0069,1,1,1,1,1,1,1,1,0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
