,CHP_biofuel,CHP_coal,CHP_muniwaste,CHP_natgas,CHP_straw,CHP_w-chip,CHP_w-pellet,CHP_w-waste,FF_solar,FF_industry,HOB_biofuel,HOB_elec,HOB_gasoil,HOB_muniwaste,HOB_natgas,HOB_straw,HOB_w-chip,HOB_w-pellet,HOB_w-waste,HP_ambient,HP_industry,HR_S-near,HR_S-far,HR_M-near,HR_M-far,HR_L-near,HR_L-far
T0058,1,1,1,1,1,1,1,1,0.070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0178,1,1,1,1,1,1,1,1,0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0298,1,1,1,1,1,1,1,1,0.030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0418,1,1,1,1,1,1,1,1,0.098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0538,1,1,1,1,1,1,1,1,0.053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0658,1,1,1,1,1,1,1,1,0.055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0778,1,1,1,1,1,1,1,1,0.298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T0898,1,1,1,1,1,1,1,1,0.148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T1018,1,1,1,1,1,1,1,1,0.253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T1138,1,1,1,1,1,1,1,1,0.073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T1258,1,1,1,1,1,1,1,1,0.120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T1378,1,1,1,1,1,1,1,1,0.244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T1498,1,1,1,1,1,1,1,1,0.333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T1618,1,1,1,1,1,1,1,1,0.333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T1738,1,1,1,1,1,1,1,1,0.259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
