case,T,J,level
policy,T0058,CHP_biofuel,0.0
policy,T0058,CHP_coal,34.15605046550608
policy,T0058,CHP_muniwaste,61.531652532683836
policy,T0058,CHP_natgas,7.44813533391097
policy,T0058,CHP_straw,34.7408208825087
policy,T0058,CHP_w-chip,26.82897680060293
policy,T0058,CHP_w-pellet,24.495670290839925
policy,T0058,CHP_w-waste,54.47197680060293
policy,T0058,FF_solar,12.54887404664059
policy,T0058,FF_industry,28.108386770312425
policy,T0058,HOB_biofuel,0.0
policy,T0058,HOB_elec,0.0
policy,T0058,HOB_gasoil,0.0
policy,T0058,HOB_muniwaste,27.006708429449922
policy,T0058,HOB_natgas,0.0
policy,T0058,HOB_straw,0.0
policy,T0058,HOB_w-chip,0.0
policy,T0058,HOB_w-pellet,0.0
policy,T0058,HOB_w-waste,16.678820918156163
policy,T0058,HP_ambient,0.0
policy,T0058,HP_industry,0.0
policy,T0178,CHP_biofuel,0.0
policy,T0178,CHP_coal,0.0
policy,T0178,CHP_muniwaste,39.33721256116016
policy,T0178,CHP_natgas,0.0
policy,T0178,CHP_straw,3.3664789966754682
policy,T0178,CHP_w-chip,0.0
policy,T0178,CHP_w-pellet,0.0
policy,T0178,CHP_w-waste,27.643
policy,T0178,FF_solar,17.834427295081973
policy,T0178,FF_industry,39.85406065573772
policy,T0178,HOB_biofuel,0.0
policy,T0178,HOB_elec,0.0
policy,T0178,HOB_gasoil,0.0
policy,T0178,HOB_muniwaste,39.410140052459035
policy,T0178,HOB_natgas,0.0
policy,T0178,HOB_straw,4.857172475409854
policy,T0178,HOB_w-chip,2.4258891475409854
policy,T0178,HOB_w-pellet,0.0
policy,T0178,HOB_w-waste,30.068889147540993
policy,T0178,HP_ambient,0.0
policy,T0178,HP_industry,0.0
policy,T0298,CHP_biofuel,0.0
policy,T0298,CHP_coal,1.4333737264668684
policy,T0298,CHP_muniwaste,49.1484716669156
policy,T0298,CHP_natgas,0.0
policy,T0298,CHP_straw,17.093690878131582
policy,T0298,CHP_w-chip,11.798984899676357
policy,T0298,CHP_w-pellet,4.933289027171426
policy,T0298,CHP_w-waste,39.44198489967636
policy,T0298,FF_solar,15.712361650485432
policy,T0298,FF_industry,35.13835922330097
policy,T0298,HOB_biofuel,0.0
policy,T0298,HOB_elec,0.0
policy,T0298,HOB_gasoil,0.0
policy,T0298,HOB_muniwaste,34.430359339805825
policy,T0298,HOB_natgas,0.0
policy,T0298,HOB_straw,0.0
policy,T0298,HOB_w-chip,0.0
policy,T0298,HOB_w-pellet,0.0
policy,T0298,HOB_w-waste,24.692989514563095
policy,T0298,HP_ambient,0.0
policy,T0298,HP_industry,0.0
policy,T0418,CHP_biofuel,0.0
policy,T0418,CHP_coal,15.259612245356639
policy,T0418,CHP_muniwaste,47.88672229327777
policy,T0418,CHP_natgas,0.0
policy,T0418,CHP_straw,20.230148276707283
policy,T0418,CHP_w-chip,12.386205806121627
policy,T0418,CHP_w-pellet,9.72801981996658
policy,T0418,CHP_w-waste,40.029205806121624
policy,T0418,FF_solar,8.587720040712533
policy,T0418,FF_industry,19.30582231269452
policy,T0418,HOB_biofuel,0.0
policy,T0418,HOB_elec,0.0
policy,T0418,HOB_gasoil,0.0
policy,T0418,HOB_muniwaste,17.711200362205414
policy,T0418,HOB_natgas,0.0
policy,T0418,HOB_straw,0.0
policy,T0418,HOB_w-chip,0.0
policy,T0418,HOB_w-pellet,0.0
policy,T0418,HOB_w-waste,6.643897436471752
policy,T0418,HP_ambient,0.0
policy,T0418,HP_industry,0.0
policy,T0538,CHP_biofuel,0.0
policy,T0538,CHP_coal,77.58193024820599
policy,T0538,CHP_muniwaste,86.22490858999251
policy,T0538,CHP_natgas,49.090098643731515
policy,T0538,CHP_straw,63.654644164844875
policy,T0538,CHP_w-chip,54.10551230708375
policy,T0538,CHP_w-pellet,54.87132661106404
policy,T0538,CHP_w-waste,81.74851230708376
