case,J,Case,value
policy,CHP_coal,baseline,8.952827885207022
policy,CHP_coal,policy,7.059162906531966
policy,CHP_muniwaste,baseline,19.930689619181983
policy,CHP_muniwaste,policy,17.53360152938068
policy,CHP_natgas,baseline,2.103531993248796
policy,CHP_natgas,policy,1.5134574398665315
policy,CHP_straw,baseline,4.409380657792222
policy,CHP_straw,policy,2.9292231160700357
policy,CHP_w-chip,baseline,13.416512629516392
policy,CHP_w-chip,policy,9.260419094449517
policy,CHP_w-pellet,baseline,11.695183768354507
policy,CHP_w-pellet,policy,7.2787702639184335
policy,CHP_w-waste,baseline,2.3337975526287473
policy,CHP_w-waste,policy,1.8747406417926074
policy,FF_solar,baseline,2.778935988813006
policy,FF_solar,policy,1.2853167937298136
policy,FF_industry,baseline,5.785681788111587
policy,FF_industry,policy,3.6816767066069733
policy,HOB_muniwaste,baseline,1.6940992422581256
policy,HOB_muniwaste,policy,1.1026990859932382
policy,HOB_natgas,baseline,0.02081479147267726
policy,HOB_straw,baseline,18.260138295814333
policy,HOB_straw,policy,7.705397054010225
policy,HOB_w-chip,baseline,5.32877895015185
policy,HOB_w-chip,policy,1.7100071537648587
policy,HOB_w-pellet,baseline,0.6833534756132351
policy,HOB_w-pellet,policy,0.056226929248121296
policy,HOB_w-waste,baseline,1.3448320553560482
policy,HOB_w-waste,policy,0.8561033576159299
policy,HP_ambient,baseline,0.6906123836749382
policy,HP_ambient,policy,0.05946603302042175
policy,HP_industry,baseline,0.5708289228045189
policy,HP_industry,policy,0.07955269548997469
policy,HR_S-near,policy,5.089304505688949
policy,HR_M-near,policy,6.604116808979284
policy,HR_M-far,policy,6.900096710589975
policy,HR_L-near,policy,8.373690695511076
policy,HR_L-far,policy,9.046970477741464
