case,T,J,level
policy,T0058,CHP_biofuel,1.0
policy,T0058,CHP_coal,0.0
policy,T0058,CHP_muniwaste,0.0
policy,T0058,CHP_natgas,0.0
policy,T0058,CHP_straw,0.0
policy,T0058,CHP_w-chip,0.0
policy,T0058,CHP_w-pellet,0.0
policy,T0058,CHP_w-waste,0.0
policy,T0058,FF_solar,0.0
policy,T0058,FF_industry,0.0
policy,T0058,HOB_biofuel,1.0
policy,T0058,HOB_elec,1.0
policy,T0058,HOB_gasoil,1.0
policy,T0058,HOB_muniwaste,0.0
policy,T0058,HOB_natgas,1.0
policy,T0058,HOB_straw,0.0
policy,T0058,HOB_w-chip,1.0
policy,T0058,HOB_w-pellet,1.0
policy,T0058,HOB_w-waste,0.0
policy,T0058,HP_ambient,1.0
policy,T0058,HP_industry,1.0
policy,T0058,HR_S-near,1.0
policy,T0058,HR_S-far,1.0
policy,T0058,HR_M-near,1.0
policy,T0058,HR_M-far,1.0
policy,T0058,HR_L-near,0.0
policy,T0058,HR_L-far,0.0
policy,T0178,CHP_biofuel,1.0
policy,T0178,CHP_coal,1.0
policy,T0178,CHP_muniwaste,0.0
policy,T0178,CHP_natgas,1.0
policy,T0178,CHP_straw,0.0
policy,T0178,CHP_w-chip,0.0
policy,T0178,CHP_w-pellet,1.0
policy,T0178,CHP_w-waste,0.0
policy,T0178,FF_solar,0.0
policy,T0178,FF_industry,0.0
policy,T0178,HOB_biofuel,1.0
policy,T0178,HOB_elec,1.0
policy,T0178,HOB_gasoil,1.0
policy,T0178,HOB_muniwaste,0.0
policy,T0178,HOB_natgas,1.0
policy,T0178,HOB_straw,0.0
policy,T0178,HOB_w-chip,0.0
policy,T0178,HOB_w-pellet,0.0
policy,T0178,HOB_w-waste,0.0
policy,T0178,HP_ambient,1.0
policy,T0178,HP_industry,0.0
policy,T0178,HR_S-near,0.0
policy,T0178,HR_S-far,1.0
policy,T0178,HR_M-near,0.0
policy,T0178,HR_M-far,0.0
policy,T0178,HR_L-near,0.0
policy,T0178,HR_L-far,0.0
policy,T0298,CHP_biofuel,1.0
policy,T0298,CHP_coal,0.0
policy,T0298,CHP_muniwaste,0.0
policy,T0298,CHP_natgas,1.0
policy,T0298,CHP_straw,0.0
policy,T0298,CHP_w-chip,0.0
policy,T0298,CHP_w-pellet,0.0
policy,T0298,CHP_w-waste,0.0
policy,T0298,FF_solar,0.0
policy,T0298,FF_industry,0.0
policy,T0298,HOB_biofuel,1.0
policy,T0298,HOB_elec,1.0
policy,T0298,HOB_gasoil,1.0
policy,T0298,HOB_muniwaste,0.0
policy,T0298,HOB_natgas,1.0
policy,T0298,HOB_straw,0.0
policy,T0298,HOB_w-chip,1.0
policy,T0298,HOB_w-pellet,1.0
policy,T0298,HOB_w-waste,0.0
policy,T0298,HP_ambient,1.0
policy,T0298,HP_industry,1.0
policy,T0298,HR_S-near,0.0
policy,T0298,HR_S-far,1.0
policy,T0298,HR_M-near,0.0
policy,T0298,HR_M-far,0.0
policy,T0298,HR_L-near,0.0
policy,T0298,HR_L-far,0.0
policy,T0418,CHP_biofuel,1.0
policy,T0418,CHP_coal,0.0
policy,T0418,CHP_muniwaste,0.0
policy,T0418,CHP_natgas,1.0
policy,T0418,CHP_straw,0.0
policy,T0418,CHP_w-chip,0.0
policy,T0418,CHP_w-pellet,0.0
policy,T0418,CHP_w-waste,0.0
policy,T0418,FF_solar,0.0
policy,T0418,FF_industry,0.0
policy,T0418,HOB_biofuel,1.0
policy,T0418,HOB_elec,1.0
policy,T0418,HOB_gasoil,1.0
policy,T0418,HOB_muniwaste,0.0
policy,T0418,HOB_natgas,1.0
policy,T0418,HOB_straw,0.0
policy,T0418,HOB_w-chip,1.0
policy,T0418,HOB_w-pellet,1.0
policy,T0418,HOB_w-waste,0.0
policy,T0418,HP_ambient,1.0
policy,T0418,HP_industry,1.0
policy,T0418,HR_S-near,1.0
policy,T0418,HR_S-far,1.0
policy,T0418,HR_M-near,0.0
policy,T0418,HR_M-far,0.0
policy,T0418,HR_L-near,0.0
policy,T0418,HR_L-far,0.0
policy,T0538,CHP_biofuel,1.0
policy,T0538,CHP_coal,0.0
policy,T0538,CHP_muniwaste,0.0
policy,T0538,CHP_natgas,0.0
policy,T0538,CHP_straw,0.0
policy,T0538,CHP_w-chip,0.0
policy,T0538,CHP_w-pellet,0.0
policy,T0538,CHP_w-waste,0.0
policy,T0538,FF_solar,0.0
policy,T0538,FF_industry,0.0
policy,T0538,HOB_biofuel,1.0
policy,T0538,HOB_elec,1.0
policy,T0538,HOB_gasoil,1.0
policy,T0538,HOB_muniwaste,0.0
policy,T0538,HOB_natgas,1.0
policy,T0538,HOB_straw,0.0
policy,T0538,HOB_w-chip,1.0
policy,T0538,HOB_w-pellet,1.0
policy,T0538,HOB_w-waste,0.0
policy,T0538,HP_ambient,1.0
policy,T0538,HP_industry,1.0
policy,T0538,HR_S-near,1.0
policy,T0538,HR_S-far,1.0
policy,T0538,HR_M-near,1.0
policy,T0538,HR_M-far,1.0
policy,T0538,HR_L-near,1.0
policy,T0538,HR_L-far,1.0
policy,T0658,CHP_biofuel,1.0
policy,T0658,CHP_coal,0.0
policy,T0658,CHP_muniwaste,0.0
policy,T0658,CHP_natgas,1.0
policy,T0658,CHP_straw,0.0
policy,T0658,CHP_w-chip,0.0
policy,T0658,CHP_w-pellet,0.0
policy,T0658,CHP_w-waste,0.0
policy,T0658,FF_solar,0.0
policy,T0658,FF_industry,0.0
policy,T0658,HOB_biofuel,1.0
policy,T0658,HOB_elec,1.0
policy,T0658,HOB_gasoil,1.0
policy,T0658,HOB_muniwaste,0.0
policy,T0658,HOB_natgas,1.0
policy,T0658,HOB_straw,0.0
policy,T0658,HOB_w-chip,1.0
policy,T0658,HOB_w-pellet,1.0
policy,T0658,HOB_w-waste,0.0
policy,T0658,HP_ambient,1.0
policy,T0658,HP_industry,1.0
policy,T0658,HR_S-near,1.0
policy,T0658,HR_S-far,1.0
policy,T0658,HR_M-near,0.0
policy,T0658,HR_M-far,0.0
policy,T0658,HR_L-near,0.0
policy,T0658,HR_L-far,0.0
policy,T0778,CHP_biofuel,1.0
policy,T0778,CHP_coal,0.0
policy,T0778,CHP_muniwaste,0.0
policy,T0778,CHP_natgas,0.0
policy,T0778,CHP_straw,0.0
policy,T0778,CHP_w-chip,0.0
policy,T0778,CHP_w-pellet,0.0
policy,T0778,CHP_w-waste,0.0
policy,T0778,FF_solar,0.0
policy,T0778,FF_industry,0.0
policy,T0778,HOB_biofuel,1.0
policy,T0778,HOB_elec,1.0
policy,T0778,HOB_gasoil,1.0
policy,T0778,HOB_muniwaste,0.0
policy,T0778,HOB_natgas,1.0
policy,T0778,HOB_straw,0.0
policy,T0778,HOB_w-chip,1.0
policy,T0778,HOB_w-pellet,1.0
policy,T0778,HOB_w-waste,0.0
policy,T0778,HP_ambient,1.0
policy,T0778,HP_industry,1.0
policy,T0778,HR_S-near,1.0
policy,T0778,HR_S-far,1.0
policy,T0778,HR_M-near,1.0
policy,T0778,HR_M-far,1.0
policy,T0778,HR_L-near,0.0
policy,T0778,HR_L-far,1.0
policy,T0898,CHP_biofuel,1.0
policy,T0898,CHP_coal,0.0
policy,T0898,CHP_muniwaste,0.0
policy,T0898,CHP_natgas,0.0
policy,T0898,CHP_straw,0.0
policy,T0898,CHP_w-chip,0.0
policy,T0898,CHP_w-pellet,0.0
policy,T0898,CHP_w-waste,0.0
policy,T0898,FF_solar,0.0
policy,T0898,FF_industry,0.0
policy,T0898,HOB_biofuel,1.0
policy,T0898,HOB_elec,1.0
policy,T0898,HOB_gasoil,1.0
policy,T0898,HOB_muniwaste,0.0
policy,T0898,HOB_natgas,1.0
policy,T0898,HOB_straw,0.0
policy,T0898,HOB_w-chip,1.0
policy,T0898,HOB_w-pellet,1.0
policy,T0898,HOB_w-waste,0.0
policy,T0898,HP_ambient,1.0
policy,T0898,HP_industry,1.0
policy,T0898,HR_S-near,1.0
policy,T0898,HR_S-far,1.0
policy,T0898,HR_M-near,1.0
policy,T0898,HR_M-far,1.0
policy,T0898,HR_L-near,0.0
policy,T0898,HR_L-far,0.0
policy,T1018,CHP_biofuel,1.0
policy,T1018,CHP_coal,0.0
policy,T1018,CHP_muniwaste,0.0
policy,T1018,CHP_natgas,1.0
policy,T1018,CHP_straw,0.0
policy,T1018,CHP_w-chip,0.0
policy,T1018,CHP_w-pellet,0.0
policy,T1018,CHP_w-waste,0.0
policy,T1018,FF_solar,0.0
policy,T1018,FF_industry,0.0
policy,T1018,HOB_biofuel,1.0
policy,T1018,HOB_elec,1.0
policy,T1018,HOB_gasoil,1.0
policy,T1018,HOB_muniwaste,0.0
policy,T1018,HOB_natgas,1.0
policy,T1018,HOB_straw,0.0
policy,T1018,HOB_w-chip,1.0
policy,T1018,HOB_w-pellet,1.0
policy,T1018,HOB_w-waste,0.0
policy,T1018,HP_ambient,1.0
policy,T1018,HP_industry,1.0
policy,T1018,HR_S-near,1.0
policy,T1018,HR_S-far,1.0
policy,T1018,HR_M-near,0.0
policy,T1018,HR_M-far,0.0
policy,T1018,HR_L-near,0.0
policy,T1018,HR_L-far,0.0
policy,T1138,CHP_biofuel,1.0
policy,T1138,CHP_coal,0.0
policy,T1138,CHP_muniwaste,0.0
policy,T1138,CHP_natgas,1.0
policy,T1138,CHP_straw,0.0
policy,T1138,CHP_w-chip,0.0
policy,T1138,CHP_w-pellet,0.0
policy,T1138,CHP_w-waste,0.0
policy,T1138,FF_solar,0.0
