case,J,Case,value
policy,CHP_coal,baseline,8.952827885207022
policy,CHP_coal,policy,8.07215773511361
policy,CHP_muniwaste,baseline,19.930689619181983
policy,CHP_muniwaste,policy,19.927778266770712
policy,CHP_natgas,baseline,2.103531993248796
policy,CHP_natgas,policy,2.0435980911321914
policy,CHP_straw,baseline,4.409380657792222
policy,CHP_straw,policy,4.175190419789955
policy,CHP_w-chip,baseline,13.416512629516392
policy,CHP_w-chip,policy,13.062573713900273
policy,CHP_w-pellet,baseline,11.695183768354507
policy,CHP_w-pellet,policy,10.791414542625201
policy,CHP_w-waste,baseline,2.3337975526287473
policy,CHP_w-waste,policy,2.2521769336129736
policy,FF_solar,baseline,2.778935988813006
policy,FF_solar,policy,2.7785300589557664
policy,FF_industry,baseline,5.785681788111587
policy,FF_industry,policy,5.78483665134279
policy,HOB_muniwaste,baseline,1.6940992422581256
policy,HOB_muniwaste,policy,1.6938517786726643
policy,HOB_natgas,baseline,0.02081479147267726
policy,HOB_straw,baseline,18.260138295814333
policy,HOB_straw,policy,17.329536260935654
policy,HOB_w-chip,baseline,5.32877895015185
policy,HOB_w-chip,policy,5.251453149131457
policy,HOB_w-pellet,baseline,0.6833534756132351
policy,HOB_w-pellet,policy,0.6741262866323652
policy,HOB_w-waste,baseline,1.3448320553560482
policy,HOB_w-waste,policy,1.3007612682691245
policy,HP_ambient,baseline,0.6906123836749382
policy,HP_ambient,policy,0.3427101593452022
policy,HP_industry,baseline,0.5708289228045189
policy,HP_industry,policy,0.46169795468198205
policy,HR_L-near,policy,4.057606729088266
