case,OperationalSummarySet,J,Case,value
policy,Capacity,HR_S-near,baseline,0.0
policy,Capacity,HR_S-near,policy,0.0
policy,Capacity,HR_S-far,baseline,0.0
policy,Capacity,HR_S-far,policy,0.0
policy,Capacity,HR_M-near,baseline,0.0
policy,Capacity,HR_M-near,policy,0.0
policy,Capacity,HR_M-far,baseline,0.0
policy,Capacity,HR_M-far,policy,0.0
policy,Capacity,HR_L-near,baseline,0.0
policy,Capacity,HR_L-near,policy,434.6927952023302
policy,Capacity,HR_L-far,baseline,0.0
policy,Capacity,HR_L-far,policy,0.0
policy,Production,HR_S-near,baseline,0.0
policy,Production,HR_S-near,policy,0.0
policy,Production,HR_S-far,baseline,0.0
policy,Production,HR_S-far,policy,0.0
policy,Production,HR_M-near,baseline,0.0
policy,Production,HR_M-near,policy,0.0
policy,Production,HR_M-far,baseline,0.0
policy,Production,HR_M-far,policy,0.0
policy,Production,HR_L-near,baseline,0.0
policy,Production,HR_L-near,policy,8403.054018397872
policy,Production,HR_L-far,baseline,0.0
policy,Production,HR_L-far,policy,0.0
