case,T,J,value
baseline,T0058,CHP_biofuel,2.0969560315670797
baseline,T0058,CHP_coal,1.7358490566037734
baseline,T0058,CHP_muniwaste,1.2732615083251715
baseline,T0058,CHP_natgas,2.70906949352179
baseline,T0058,CHP_straw,1.453252032520325
baseline,T0058,CHP_w-chip,1.3018322082931535
baseline,T0058,CHP_w-pellet,1.544041450777202
baseline,T0058,CHP_w-waste,1.3018322082931535
baseline,T0058,FF_solar,2.2222222222222223
baseline,T0058,FF_industry,1.0
baseline,T0058,HOB_biofuel,0.970873786407767
baseline,T0058,HOB_elec,1.0101010101010102
baseline,T0058,HOB_gasoil,0.970873786407767
baseline,T0058,HOB_muniwaste,0.9469696969696969
baseline,T0058,HOB_natgas,0.970873786407767
baseline,T0058,HOB_straw,0.970873786407767
baseline,T0058,HOB_w-chip,0.8771929824561404
baseline,T0058,HOB_w-pellet,0.9891196834817014
baseline,T0058,HOB_w-waste,0.8771929824561404
baseline,T0058,HP_ambient,0.42176296921130324
baseline,T0058,HP_industry,0.3506311360448808
baseline,T0058,HR_S-near,0.3325573661456601
baseline,T0058,HR_S-far,0.3325573661456601
baseline,T0058,HR_M-near,0.29664787896766537
baseline,T0058,HR_M-far,0.29664787896766537
baseline,T0058,HR_L-near,0.2680246582685607
baseline,T0058,HR_L-far,0.2680246582685607
baseline,T0178,CHP_biofuel,2.0969560315670797
baseline,T0178,CHP_coal,1.7358490566037734
baseline,T0178,CHP_muniwaste,1.2732615083251715
baseline,T0178,CHP_natgas,2.70906949352179
baseline,T0178,CHP_straw,1.453252032520325
baseline,T0178,CHP_w-chip,1.3018322082931535
baseline,T0178,CHP_w-pellet,1.544041450777202
baseline,T0178,CHP_w-waste,1.3018322082931535
baseline,T0178,FF_solar,2.2222222222222223
baseline,T0178,FF_industry,1.0
baseline,T0178,HOB_biofuel,0.970873786407767
baseline,T0178,HOB_elec,1.0101010101010102
baseline,T0178,HOB_gasoil,0.970873786407767
baseline,T0178,HOB_muniwaste,0.9469696969696969
baseline,T0178,HOB_natgas,0.970873786407767
baseline,T0178,HOB_straw,0.970873786407767
baseline,T0178,HOB_w-chip,0.8771929824561404
baseline,T0178,HOB_w-pellet,0.9891196834817014
baseline,T0178,HOB_w-waste,0.8771929824561404
baseline,T0178,HP_ambient,0.41858518208455425
baseline,T0178,HP_industry,0.3536067892503536
baseline,T0178,HR_S-near,0.33557046979865773
baseline,T0178,HR_S-far,0.33557046979865773
baseline,T0178,HR_M-near,0.29940119760479045
baseline,T0178,HR_M-far,0.29940119760479045
baseline,T0178,HR_L-near,0.27048958615093316
baseline,T0178,HR_L-far,0.27048958615093316
baseline,T0298,CHP_biofuel,2.0969560315670797
baseline,T0298,CHP_coal,1.7358490566037734
baseline,T0298,CHP_muniwaste,1.2732615083251715
baseline,T0298,CHP_natgas,2.70906949352179
baseline,T0298,CHP_straw,1.453252032520325
baseline,T0298,CHP_w-chip,1.3018322082931535
baseline,T0298,CHP_w-pellet,1.544041450777202
baseline,T0298,CHP_w-waste,1.3018322082931535
baseline,T0298,FF_solar,2.2222222222222223
baseline,T0298,FF_industry,1.0
baseline,T0298,HOB_biofuel,0.970873786407767
baseline,T0298,HOB_elec,1.0101010101010102
baseline,T0298,HOB_gasoil,0.970873786407767
baseline,T0298,HOB_muniwaste,0.9469696969696969
baseline,T0298,HOB_natgas,0.970873786407767
baseline,T0298,HOB_straw,0.970873786407767
baseline,T0298,HOB_w-chip,0.8771929824561404
baseline,T0298,HOB_w-pellet,0.9891196834817014
baseline,T0298,HOB_w-waste,0.8771929824561404
baseline,T0298,HP_ambient,0.41858518208455425
baseline,T0298,HP_industry,0.3536067892503536
baseline,T0298,HR_S-near,0.33557046979865773
baseline,T0298,HR_S-far,0.33557046979865773
baseline,T0298,HR_M-near,0.29940119760479045
baseline,T0298,HR_M-far,0.29940119760479045
baseline,T0298,HR_L-near,0.27048958615093316
baseline,T0298,HR_L-far,0.27048958615093316
baseline,T0418,CHP_biofuel,2.0969560315670797
baseline,T0418,CHP_coal,1.7358490566037734
baseline,T0418,CHP_muniwaste,1.2732615083251715
baseline,T0418,CHP_natgas,2.70906949352179
baseline,T0418,CHP_straw,1.453252032520325
baseline,T0418,CHP_w-chip,1.3018322082931535
baseline,T0418,CHP_w-pellet,1.544041450777202
baseline,T0418,CHP_w-waste,1.3018322082931535
baseline,T0418,FF_solar,2.2222222222222223
baseline,T0418,FF_industry,1.0
baseline,T0418,HOB_biofuel,0.970873786407767
baseline,T0418,HOB_elec,1.0101010101010102
baseline,T0418,HOB_gasoil,0.970873786407767
baseline,T0418,HOB_muniwaste,0.9469696969696969
baseline,T0418,HOB_natgas,0.970873786407767
baseline,T0418,HOB_straw,0.970873786407767
baseline,T0418,HOB_w-chip,0.8771929824561404
baseline,T0418,HOB_w-pellet,0.9891196834817014
baseline,T0418,HOB_w-waste,0.8771929824561404
baseline,T0418,HP_ambient,0.449034575662326
baseline,T0418,HP_industry,0.3536067892503536
baseline,T0418,HR_S-near,0.33557046979865773
baseline,T0418,HR_S-far,0.33557046979865773
baseline,T0418,HR_M-near,0.29940119760479045
baseline,T0418,HR_M-far,0.29940119760479045
baseline,T0418,HR_L-near,0.27048958615093316
baseline,T0418,HR_L-far,0.27048958615093316
baseline,T0538,CHP_biofuel,2.0969560315670797
baseline,T0538,CHP_coal,1.7358490566037734
baseline,T0538,CHP_muniwaste,1.2732615083251715
baseline,T0538,CHP_natgas,2.70906949352179
baseline,T0538,CHP_straw,1.453252032520325
