case,T,J,value
baseline,T0058,CHP_coal,0.5880362264150943
baseline,T0058,CHP_muniwaste,0.19480901077375123
baseline,T0058,CHP_natgas,0.5510247349823321
baseline,T0058,HOB_elec,0.021523232323232326
baseline,T0058,HOB_gasoil,0.2589902912621359
baseline,T0058,HOB_muniwaste,0.14488636363636362
baseline,T0058,HOB_natgas,0.1974757281553398
baseline,T0058,HP_ambient,0.00898692534795445
baseline,T0058,HP_industry,0.00747124824684432
baseline,T0058,HR_S-near,0.007086132357831726
baseline,T0058,HR_S-far,0.007086132357831726
baseline,T0058,HR_M-near,0.0063209730050430134
baseline,T0058,HR_M-far,0.0063209730050430134
baseline,T0058,HR_L-near,0.005711069418386491
baseline,T0058,HR_L-far,0.005711069418386491
baseline,T0178,CHP_coal,0.5880362264150943
baseline,T0178,CHP_muniwaste,0.19480901077375123
baseline,T0178,CHP_natgas,0.5510247349823321
baseline,T0178,HOB_elec,0.022096969696969698
baseline,T0178,HOB_gasoil,0.2589902912621359
baseline,T0178,HOB_muniwaste,0.14488636363636362
baseline,T0178,HOB_natgas,0.1974757281553398
baseline,T0178,HP_ambient,0.009156969443281709
baseline,T0178,HP_industry,0.007735502121640736
baseline,T0178,HR_S-near,0.007340939597315436
baseline,T0178,HR_S-far,0.007340939597315436
baseline,T0178,HR_M-near,0.006549700598802396
baseline,T0178,HR_M-far,0.006549700598802396
baseline,T0178,HR_L-near,0.005917230186637814
baseline,T0178,HR_L-far,0.005917230186637814
baseline,T0298,CHP_coal,0.5880362264150943
baseline,T0298,CHP_muniwaste,0.19480901077375123
baseline,T0298,CHP_natgas,0.5510247349823321
baseline,T0298,HOB_elec,0.017395959595959597
baseline,T0298,HOB_gasoil,0.2589902912621359
baseline,T0298,HOB_muniwaste,0.14488636363636362
baseline,T0298,HOB_natgas,0.1974757281553398
baseline,T0298,HP_ambient,0.007208874005860194
baseline,T0298,HP_industry,0.0060898161244695905
baseline,T0298,HR_S-near,0.005779194630872484
baseline,T0298,HR_S-far,0.005779194630872484
baseline,T0298,HR_M-near,0.005156287425149702
baseline,T0298,HR_M-far,0.005156287425149702
baseline,T0298,HR_L-near,0.004658371652691371
baseline,T0298,HR_L-far,0.004658371652691371
baseline,T0418,CHP_coal,0.5880362264150943
baseline,T0418,CHP_muniwaste,0.19480901077375123
baseline,T0418,CHP_natgas,0.5510247349823321
baseline,T0418,HOB_elec,0.040674747474747475
baseline,T0418,HOB_gasoil,0.2589902912621359
baseline,T0418,HOB_muniwaste,0.14488636363636362
baseline,T0418,HOB_natgas,0.1974757281553398
baseline,T0418,HP_ambient,0.018081724292770544
baseline,T0418,HP_industry,0.014239038189533239
baseline,T0418,HR_S-near,0.013512751677852349
baseline,T0418,HR_S-far,0.013512751677852349
baseline,T0418,HR_M-near,0.0120562874251497
baseline,T0418,HR_M-far,0.0120562874251497
baseline,T0418,HR_L-near,0.010892074655125776
baseline,T0418,HR_L-far,0.010892074655125776
baseline,T0538,CHP_coal,0.5880362264150943
baseline,T0538,CHP_muniwaste,0.19480901077375123
baseline,T0538,CHP_natgas,0.5510247349823321
baseline,T0538,HOB_elec,0.06672121212121213
baseline,T0538,HOB_gasoil,0.2589902912621359
baseline,T0538,HOB_muniwaste,0.14488636363636362
baseline,T0538,HOB_natgas,0.1974757281553398
baseline,T0538,HP_ambient,0.029409617097061445
baseline,T0538,HP_industry,0.023357142857142858
baseline,T0538,HR_S-near,0.02216577181208054
baseline,T0538,HR_S-far,0.02216577181208054
baseline,T0538,HR_M-near,0.01977664670658683
baseline,T0538,HR_M-far,0.01977664670658683
baseline,T0538,HR_L-near,0.01786691912361374
baseline,T0538,HR_L-far,0.01786691912361374
baseline,T0658,CHP_coal,0.5880362264150943
baseline,T0658,CHP_muniwaste,0.19480901077375123
baseline,T0658,CHP_natgas,0.5510247349823321
baseline,T0658,HOB_elec,0.03060606060606061
baseline,T0658,HOB_gasoil,0.2589902912621359
baseline,T0658,HOB_muniwaste,0.14488636363636362
baseline,T0658,HOB_natgas,0.1974757281553398
baseline,T0658,HP_ambient,0.01388634280476627
baseline,T0658,HP_industry,0.010714285714285714
baseline,T0658,HR_S-near,0.01016778523489933
baseline,T0658,HR_S-far,0.01016778523489933
baseline,T0658,HR_M-near,0.009071856287425151
baseline,T0658,HR_M-far,0.009071856287425151
baseline,T0658,HR_L-near,0.008195834460373275
baseline,T0658,HR_L-far,0.008195834460373275
baseline,T0778,CHP_coal,0.5880362264150943
baseline,T0778,CHP_muniwaste,0.19480901077375123
baseline,T0778,CHP_natgas,0.5510247349823321
baseline,T0778,HOB_elec,0.030921212121212124
baseline,T0778,HOB_gasoil,0.2589902912621359
baseline,T0778,HOB_muniwaste,0.14488636363636362
baseline,T0778,HOB_natgas,0.1974757281553398
baseline,T0778,HP_ambient,0.013745846430175124
baseline,T0778,HP_industry,0.010824611032531824
baseline,T0778,HR_S-near,0.010272483221476511
baseline,T0778,HR_S-far,0.010272483221476511
baseline,T0778,HR_M-near,0.009165269461077845
baseline,T0778,HR_M-far,0.009165269461077845
baseline,T0778,HR_L-near,0.008280227211252366
baseline,T0778,HR_L-far,0.008280227211252366
baseline,T0898,CHP_coal,0.5880362264150943
baseline,T0898,CHP_muniwaste,0.19480901077375123
baseline,T0898,CHP_natgas,0.5510247349823321
baseline,T0898,HOB_elec,0.06115454545454546
baseline,T0898,HOB_gasoil,0.2589902912621359
baseline,T0898,HOB_muniwaste,0.14488636363636362
baseline,T0898,HOB_natgas,0.1974757281553398
baseline,T0898,HP_ambient,0.027519545454545453
baseline,T0898,HP_industry,0.021408415841584157
baseline,T0898,HR_S-near,0.020316442953020136
baseline,T0898,HR_S-far,0.020316442953020136
baseline,T0898,HR_M-near,0.018126646706586827
baseline,T0898,HR_M-far,0.018126646706586827
baseline,T0898,HR_L-near,0.016376251014335947
baseline,T0898,HR_L-far,0.016376251014335947
baseline,T1018,CHP_coal,0.5880362264150943
baseline,T1018,CHP_muniwaste,0.19480901077375123
baseline,T1018,CHP_natgas,0.5510247349823321
baseline,T1018,HOB_elec,0.01907878787878788
baseline,T1018,HOB_gasoil,0.2589902912621359
baseline,T1018,HOB_muniwaste,0.14488636363636362
baseline,T1018,HOB_natgas,0.1974757281553398
baseline,T1018,HP_ambient,0.007811414392059552
baseline,T1018,HP_industry,0.006678925035360678
baseline,T1018,HR_S-near,0.006338255033557047
baseline,T1018,HR_S-far,0.006338255033557047
baseline,T1018,HR_M-near,0.005655089820359282
baseline,T1018,HR_M-far,0.005655089820359282
baseline,T1018,HR_L-near,0.0051090073032188255
baseline,T1018,HR_L-far,0.0051090073032188255
baseline,T1138,CHP_coal,0.5880362264150943
baseline,T1138,CHP_muniwaste,0.19480901077375123
baseline,T1138,CHP_natgas,0.5510247349823321
baseline,T1138,HOB_elec,0.014690909090909091
baseline,T1138,HOB_gasoil,0.2589902912621359
baseline,T1138,HOB_muniwaste,0.14488636363636362
baseline,T1138,HOB_natgas,0.1974757281553398
baseline,T1138,HP_ambient,0.006113493064312736
baseline,T1138,HP_industry,0.005142857142857143
